Disease,Category,Common Symptoms,Orthodox (Conventional) Treatment,Herbal / Traditional Remedies (commonly referenced),Notes
Tuberculosis (Pulmonary),Bacterial,"Chronic cough >2 weeks, night sweats, weight loss, hemoptysis, fatigue","6-month DOTS regimen: isoniazid, rifampicin, pyrazinamide, ethambutol","Garlic, ginger, and honey used traditionally for cough relief (adjunct only)",Never substitute herbal remedies for anti-TB therapy; drug resistance risk
Leprosy (Hansen's Disease),Bacterial,"Pale/reddish skin patches with numbness, nerve thickening, muscle weakness","Multidrug therapy (dapsone, rifampicin, clofazimine)",Not a substitute for MDT,Early treatment prevents disability
Meningococcal Meningitis,Bacterial,"Severe headache, neck stiffness, high fever, photophobia, rash",IV ceftriaxone or penicillin; vaccination for prevention (meningitis belt),Not recommended - medical emergency,West Africa lies in the 'meningitis belt'; seek urgent care
Pneumonia (Bacterial),Bacterial/Respiratory,"Cough, fever, chest pain, fast/difficult breathing","Amoxicillin, or amoxicillin-clavulanate; oxygen if hypoxic",Ginger-garlic-honey mixture for symptomatic cough relief,Leading cause of under-5 mortality in region
Whooping Cough (Pertussis),Bacterial,"Severe coughing fits, whoop sound, vomiting after cough",Azithromycin or erythromycin; supportive care,Honey and lemon for cough soothing (not for infants under 1 year),Vaccine-preventable (DPT)
Diphtheria,Bacterial,"Sore throat, grey membrane in throat, fever, difficulty breathing",Diphtheria antitoxin plus erythromycin/penicillin,Not recommended - medical emergency,Vaccine-preventable
Tetanus,Bacterial,"Muscle stiffness/spasms, lockjaw, difficulty swallowing","Tetanus immunoglobulin, wound debridement, metronidazole, muscle relaxants",Not recommended - requires hospital care,Vaccine-preventable; ensure clean wound care and immunization
Buruli Ulcer,Bacterial,Painless skin nodule progressing to large ulcer,Rifampicin plus clarithromycin for 8 weeks; wound care/surgery if needed,Not a substitute for antibiotics,Common in West/Central Africa; early treatment prevents disability
Leptospirosis,Bacterial,"Fever, headache, muscle pain, jaundice, red eyes",Doxycycline or penicillin; supportive care,Not recommended,Associated with flooding/contact with contaminated water
Anthrax (Cutaneous),Bacterial,"Painless black-centered skin ulcer, swelling, fever",Ciprofloxacin or doxycycline; surgical care if needed,Not recommended,Associated with contact with infected livestock
Brucellosis,Bacterial,"Undulating fever, joint pain, fatigue, night sweats",Doxycycline plus rifampicin or streptomycin,Not recommended,Transmitted via unpasteurized dairy/livestock contact
Streptococcal Sore Throat,Bacterial,"Sore throat, fever, swollen tonsils, difficulty swallowing",Penicillin V or amoxicillin,Warm salt water gargle; ginger-honey tea for comfort,
Urinary Tract Infection (Bacterial),Bacterial,"Burning urination, frequency, urgency, lower abdominal pain","Nitrofurantoin, ciprofloxacin, or trimethoprim-sulfamethoxazole depending on culture",Increased water intake; unsweetened cranberry/hibiscus (zobo) tea as supportive measure,
Bacterial Skin Infection (Cellulitis),Bacterial,"Red, warm, swollen, painful skin area, fever",Flucloxacillin or amoxicillin-clavulanate,Warm compress; neem leaf wash for hygiene support,
Impetigo,Bacterial,"Honey-colored crusted skin sores, common in children",Topical mupirocin or oral flucloxacillin,Neem leaf wash for skin hygiene,
Otitis Media (Bacterial Ear Infection),Bacterial,"Ear pain, fever, hearing difficulty, ear discharge",Amoxicillin; analgesics for pain,Warm compress over ear,
Bacterial Conjunctivitis,Bacterial,"Red eye, purulent discharge, eyelid crusting","Topical antibiotic eye drops (e.g., chloramphenicol)",Clean warm water wash,
"Pertussis-like Chronic Cough (Bronchitis, bacterial)",Bacterial/Respiratory,"Persistent cough, mucus production, chest discomfort",Amoxicillin if bacterial superinfection suspected; supportive care,"Ginger, garlic, honey and lemon mixtures",Most bronchitis is viral; antibiotics not always needed
Gonorrhea,Bacterial/STI,"Urethral/vaginal discharge, painful urination, pelvic pain",Ceftriaxone plus azithromycin (dual therapy),Not recommended,Treat sexual partners; screen for co-infections
Chlamydia,Bacterial/STI,"Often asymptomatic; discharge, pelvic pain, painful urination",Azithromycin or doxycycline,Not recommended,
Syphilis,Bacterial/STI,"Painless genital sore (primary), rash (secondary), late organ damage (tertiary)",Benzathine penicillin G,Not recommended,Screen in pregnancy to prevent congenital syphilis
Trachoma,Bacterial (chlamydial eye infection),"Eye irritation, discharge, eyelid scarring, risk of blindness",Azithromycin (mass drug administration); eyelid surgery for advanced cases,Clean water face-washing (hygiene prevention),Leading infectious cause of blindness in endemic areas
Pelvic Inflammatory Disease,Bacterial (gynecological),"Lower abdominal pain, fever, abnormal discharge, painful intercourse","Combination antibiotics: ceftriaxone, doxycycline, metronidazole",Not recommended,Untreated PID can cause infertility
Bacterial Vaginosis,Bacterial,"Grey/thin vaginal discharge, fishy odor",Metronidazole or clindamycin,Not recommended,
Peptic Ulcer Disease (H. pylori associated),Bacterial/GI,"Epigastric pain, bloating, nausea, worsens with fasting",Triple therapy: proton pump inhibitor + clarithromycin + amoxicillin/metronidazole,"Unripe plantain (traditional use), cabbage juice (adjunct, limited evidence)",
Osteomyelitis,Bacterial,"Bone pain, swelling, fever, wound drainage",Prolonged IV/oral antibiotics per culture; surgical debridement if needed,Not recommended,
Neonatal Sepsis,Bacterial,"Poor feeding, lethargy, fever/hypothermia, fast breathing in newborn",IV ampicillin plus gentamicin (per protocol); hospital admission,Not recommended - medical emergency,
Lassa Fever,Viral (hemorrhagic),"Fever, sore throat, headache, vomiting, bleeding in severe cases","Ribavirin (early administration), supportive care/IV fluids",Not recommended - medical emergency,"Endemic in West Africa (Nigeria, Sierra Leone, Liberia, Guinea); notify health authorities"
Ebola Virus Disease,Viral (hemorrhagic),"Fever, severe weakness, muscle pain, vomiting, unexplained bleeding","Supportive care, IV fluids; monoclonal antibodies (e.g., mAb114, REGN-EB3) where available","Not recommended - medical emergency, highly contagious",Isolate and report immediately to health authorities
HIV/AIDS,Viral,"Recurrent infections, weight loss, fatigue, swollen lymph nodes, opportunistic infections",Antiretroviral therapy (ART) - lifelong combination regimen,"Moringa, bitter leaf used as general nutritional support (not antiviral substitutes)",Never replace ART with herbal treatment; adherence counseling essential
Hepatitis A,Viral,"Fatigue, nausea, jaundice, abdominal pain, dark urine","Supportive care, rest, hydration; vaccine for prevention","Bitter leaf, scent leaf for general liver support (unproven)",
Hepatitis B,Viral,"Fatigue, jaundice, abdominal pain; often chronic and asymptomatic","Antivirals (tenofovir, entecavir) for chronic active disease; vaccine for prevention",Not a substitute for antivirals,Screen pregnant women to prevent mother-to-child transmission
Hepatitis C,Viral,"Often asymptomatic; fatigue, jaundice in advanced disease","Direct-acting antivirals (e.g., sofosbuvir-based regimens)",Not recommended,
Hepatitis E,Viral,"Jaundice, fatigue, nausea, abdominal pain",Supportive care; caution in pregnancy (higher risk of severe disease),Not recommended,
Measles,Viral,"Fever, cough, runny nose, conjunctivitis, rash starting on face","Supportive care, vitamin A supplementation; vaccine for prevention",Zobo (hibiscus) drink for hydration support,Vaccine-preventable; watch for complications like pneumonia
Mumps,Viral,"Swollen salivary glands, fever, jaw pain","Supportive care, analgesics",Warm compress on swollen glands,
Rubella,Viral,"Mild fever, rash, swollen lymph nodes",Supportive care; vaccine for prevention,Not recommended,Danger in pregnancy - congenital rubella syndrome
Chickenpox (Varicella),Viral,"Itchy vesicular rash, fever, malaise","Supportive care, calamine lotion, antihistamines; antivirals in severe cases",Neem leaf bath (traditional for itch relief),
Herpes Zoster (Shingles),Viral,Painful vesicular rash along a nerve distribution,"Antivirals (acyclovir/valacyclovir), analgesics",Not recommended for antiviral treatment,
Herpes Simplex (Oral/Genital),Viral,Painful blisters/ulcers on mouth or genitals,Acyclovir or valacyclovir,Not recommended,
Common Cold,Viral,"Runny nose, sneezing, mild cough, sore throat","Supportive care, paracetamol, rest, fluids","Ginger-lemon-honey tea, garlic, scent leaf steam inhalation",
Influenza,Viral,"Fever, chills, body aches, cough, fatigue",Supportive care; antivirals (oseltamivir) in high-risk cases,"Ginger, garlic, and lemon tea for symptomatic relief",
COVID-19,Viral,"Fever, cough, loss of taste/smell, breathing difficulty",Supportive care; antivirals/oxygen for moderate-severe cases per protocol,"Ginger, garlic, lemon, and zobo tea for symptom relief (not curative)",Follow current national health guidance
Poliomyelitis,Viral,"Fever, limb weakness, paralysis (in a minority of cases)",Supportive care and rehabilitation; no cure - vaccine for prevention,Not recommended,Vaccine-preventable; report suspected cases
Rabies,Viral,"Fever, agitation, hydrophobia, paralysis (after bite exposure)",Post-exposure prophylaxis (rabies vaccine + immunoglobulin) - must start promptly,Not recommended - fatal once symptomatic,"Wash bite wound immediately with soap and water, seek care urgently"
Viral Conjunctivitis,Viral,"Red, watery eyes, mild discomfort, no thick discharge","Supportive care, cool compress, lubricating eye drops",Clean water wash,
"Viral Gastroenteritis (e.g., Rotavirus)",Viral,"Watery diarrhea, vomiting, fever, dehydration in children","Oral rehydration salts, zinc supplementation; vaccine (rotavirus) for prevention","Coconut water, rice water for hydration support",
Mpox (Monkeypox),Viral,"Fever, rash/lesions, swollen lymph nodes",Supportive care; antivirals (tecovirimat) in severe/high-risk cases,Not recommended,Isolate to prevent spread; report to health authorities
"Hand, Foot and Mouth Disease",Viral,"Mouth ulcers, rash on hands/feet, fever in children","Supportive care, paracetamol, fluids",Honey for mouth sores (not for infants under 1 year),
"Viral Hepatitis (Acute, unspecified)",Viral,"Jaundice, fatigue, nausea, dark urine","Supportive care, avoid hepatotoxic substances (including some herbs)",Caution: some herbal products can worsen liver injury,
Schistosomiasis (Bilharzia),Parasitic,"Blood in urine/stool, abdominal pain, fatigue, itchy skin after water contact",Praziquantel (single or repeat dose),Not a substitute for praziquantel,Common near freshwater bodies; mass drug administration programs exist
"Soil-Transmitted Helminths (Roundworm, Hookworm, Whipworm)",Parasitic,"Abdominal pain, diarrhea, weight loss, anemia (hookworm), visible worms in stool",Albendazole or mebendazole (single or repeat dose),Pawpaw (papaya) seeds and bitter kola used traditionally as dewormers,
Ascariasis (Roundworm),Parasitic,"Abdominal discomfort, worms in stool/vomit, growth impairment in children",Albendazole or mebendazole,Pawpaw seed extract (traditional),
Hookworm Infection,Parasitic,"Iron-deficiency anemia, fatigue, abdominal pain, itchy feet (larval entry)",Albendazole/mebendazole; iron supplementation for anemia,Not recommended as sole treatment,
Trichuriasis (Whipworm),Parasitic,"Diarrhea, abdominal pain, rectal prolapse in heavy infection",Mebendazole or albendazole,Not recommended,
Strongyloidiasis,Parasitic,"Abdominal pain, diarrhea, itchy skin rash (larva currens)",Ivermectin (drug of choice),Not recommended,
Taeniasis (Tapeworm),Parasitic,"Abdominal discomfort, visible worm segments in stool, mild weight loss",Praziquantel or niclosamide,Pumpkin seeds used traditionally,
Cysticercosis,Parasitic,"Seizures (if brain involved), muscle lumps, headache",Albendazole/praziquantel with steroids under medical supervision (neurocysticercosis needs specialist care),Not recommended,
Amoebiasis (Entamoeba histolytica),Parasitic,"Bloody diarrhea, abdominal cramps, occasional liver abscess","Metronidazole followed by a luminal agent (e.g., diloxanide furoate)","Guava leaf and pawpaw leaf decoction (traditional, adjunct only)",
Giardiasis,Parasitic,"Watery diarrhea, bloating, greasy stools, abdominal cramps",Metronidazole or tinidazole,Ginger tea for nausea support,
Loiasis (African Eye Worm),Parasitic,"Migrating skin swellings (Calabar swellings), visible worm in eye",Diethylcarbamazine (DEC); ivermectin used cautiously (risk with high Loa loa loads),Not recommended,Needs specialist assessment before mass drug administration due to complication risk
Guinea Worm Disease (Dracunculiasis),Parasitic,"Painful blister with emerging worm, usually on the leg/foot","No drug cure; manual extraction of worm, wound care, prevent water contamination",Not recommended - manage with clean water and wound care,Near-eradicated; report suspected cases
Toxoplasmosis,Parasitic,"Often asymptomatic; flu-like symptoms, risk to fetus if in pregnancy",Pyrimethamine plus sulfadiazine for symptomatic/at-risk cases,Not recommended,
Cutaneous Leishmaniasis,Parasitic,Skin sores/ulcers at sandfly bite site,Sodium stibogluconate or other antileishmanial agents (specialist care),Not recommended,
Visceral Leishmaniasis (Kala-azar),Parasitic,"Prolonged fever, weight loss, enlarged spleen/liver, anemia",Liposomal amphotericin B or sodium stibogluconate,Not recommended - medical emergency,
Scabies,Parasitic (mite),"Intense itching (worse at night), burrows, rash between fingers",Permethrin cream or oral ivermectin; treat close contacts,Neem leaf paste/oil applied topically (traditional),Wash clothing/bedding to prevent reinfection
Pediculosis (Head Lice),Parasitic,"Itchy scalp, visible lice/nits",Permethrin lotion or dimethicone,Coconut oil combing (traditional),
Malabsorption due to Intestinal Parasites,Parasitic,"Chronic diarrhea, weight loss, bloating, nutrient deficiency",Deworming per identified parasite; nutritional support,Balanced diet with local vegetables,
Enterobiasis (Pinworm),Parasitic,"Anal itching (worse at night), irritability in children",Mebendazole or albendazole; treat whole household,Not recommended,
Trichomoniasis,Parasitic/STI,"Vaginal/urethral discharge, itching, discomfort during urination",Metronidazole or tinidazole (treat partner too),Not recommended,
Tinea Corporis (Ringworm),Fungal,"Circular, itchy, scaly skin patches with raised edges",Topical antifungal (clotrimazole/terbinafine); oral antifungal if extensive,"Neem leaf paste, bitter leaf applied topically (traditional)",
Tinea Capitis (Scalp Ringworm),Fungal,"Scaly scalp patches, hair loss, itching",Oral griseofulvin or terbinafine plus antifungal shampoo,Neem-based shampoo (traditional adjunct),
Tinea Pedis (Athlete's Foot),Fungal,"Itchy, peeling skin between toes","Topical antifungal cream, keep feet dry",Neem oil application,
Candidiasis (Oral Thrush),Fungal,"White patches in mouth, soreness, difficulty feeding in infants",Nystatin oral suspension or fluconazole,Not recommended for infants; consult clinician,
Candidiasis (Vaginal),Fungal,"Itching, thick white discharge, soreness",Fluconazole (oral) or clotrimazole (topical),"Plain yogurt applied topically (traditional, limited evidence)",
Tinea Versicolor,Fungal,"Patchy discoloration of skin, mild scaling",Selenium sulfide shampoo or topical/oral antifungal,Not recommended,
Histoplasmosis,Fungal,"Fever, cough, fatigue; can be severe in immunocompromised",Itraconazole or amphotericin B for severe cases,Not recommended,
Cryptococcal Meningitis,Fungal,"Headache, fever, neck stiffness, confusion (often in HIV-positive patients)","Amphotericin B plus flucytosine, followed by fluconazole",Not recommended - medical emergency,
Mycetoma (Madura Foot),Fungal/Bacterial,Painless swelling of foot with draining sinuses,Prolonged antifungal or antibacterial therapy depending on cause; surgery in advanced cases,Not recommended,
Onychomycosis (Nail Fungus),Fungal,"Thickened, discolored, brittle nails",Oral terbinafine or topical antifungal lacquer,"Tea tree oil application (adjunct, limited evidence)",
Asthma,Respiratory,"Wheezing, shortness of breath, chest tightness, cough (often nocturnal)","Inhaled bronchodilators (salbutamol), inhaled corticosteroids for control",Steam inhalation with ginger/eucalyptus (symptomatic support only),Avoid known triggers; keep rescue inhaler accessible
Chronic Obstructive Pulmonary Disease (COPD),Respiratory,"Chronic cough, sputum, breathlessness on exertion","Bronchodilators, inhaled steroids, smoking/biomass smoke cessation",Not a cure; supportive teas only,
Acute Bronchitis,Respiratory,"Cough with mucus, chest discomfort, mild fever",Supportive care; antibiotics only if bacterial superinfection suspected,"Ginger-garlic-honey mixture, steam inhalation",
Sinusitis,Respiratory,"Facial pain/pressure, nasal congestion, thick nasal discharge","Nasal saline, decongestants; antibiotics if bacterial and prolonged",Steam inhalation with menthol/eucalyptus leaves,
Allergic Rhinitis,Respiratory,"Sneezing, runny/itchy nose, nasal congestion","Antihistamines, intranasal corticosteroids","Local honey (anecdotal, limited evidence)",
Silicosis / Occupational Lung Disease,Respiratory,"Progressive breathlessness, cough, chest tightness (miners/quarry workers)","Supportive care, oxygen therapy, avoid further dust exposure",Not recommended,
Croup,Respiratory,"Barking cough, hoarse voice, stridor in young children","Corticosteroids (dexamethasone), humidified air; nebulized epinephrine if severe",Steam/humidified air exposure,
Bronchiolitis,Respiratory,"Wheezing, rapid breathing, cough in infants","Supportive care, oxygen if needed; hospital care for severe cases",Not recommended,
Pleural Effusion (secondary),Respiratory,"Breathlessness, chest pain, reduced breath sounds","Treat underlying cause (e.g., TB, infection); drainage if large",Not recommended,
Gastroenteritis (General),Gastrointestinal,"Diarrhea, vomiting, abdominal cramps, fever","Oral rehydration salts, zinc (children), treat underlying cause if identified","Rice water, coconut water, guava leaf tea",
"Diarrhea, Acute (Child)",Gastrointestinal,"Frequent loose stools, dehydration signs, irritability",ORS plus zinc supplementation for 10-14 days,"Rice water, breastfeeding continuation",Leading cause of under-5 mortality; monitor for dehydration
Constipation,Gastrointestinal,"Infrequent/hard stools, straining, bloating","Increase fiber/fluids; laxatives (e.g., bisacodyl) if needed","Aloe vera juice, unripe pawpaw, high-fiber local vegetables",
Irritable Bowel Syndrome,Gastrointestinal,"Abdominal pain, bloating, altered bowel habits","Dietary modification, antispasmodics, fiber supplementation","Ginger tea, peppermint tea for symptomatic relief",
Gastroesophageal Reflux Disease (GERD),Gastrointestinal,"Heartburn, regurgitation, chest discomfort after meals","Proton pump inhibitors (omeprazole), H2 blockers, dietary changes",Ginger tea in moderation; avoid excess spicy/fatty foods,
Gastritis,Gastrointestinal,"Epigastric pain, nausea, bloating","Proton pump inhibitors, avoid NSAIDs/alcohol","Unripe plantain, cabbage juice (traditional)",
Liver Cirrhosis,Gastrointestinal/Hepatic,"Jaundice, abdominal swelling, fatigue, easy bruising","Treat underlying cause, manage complications, avoid hepatotoxic substances",Caution: many herbal products can worsen liver injury - use only under medical guidance,
Hemorrhoids,Gastrointestinal,"Rectal bleeding, pain, itching, swelling around anus","Fiber supplementation, topical treatments, sitz baths; surgery if severe","Aloe vera gel application, sitz bath with warm water and salt",
Appendicitis,Gastrointestinal (Surgical),"Right lower abdominal pain, fever, nausea, vomiting",Surgical appendectomy; antibiotics,Not recommended - surgical emergency,Seek urgent surgical evaluation
Cholecystitis / Gallstones,Gastrointestinal,"Right upper abdominal pain (worse after fatty meals), nausea","Analgesics, antibiotics if infected, surgery (cholecystectomy) definitive",Not recommended as sole treatment,
Pancreatitis (Acute),Gastrointestinal,"Severe upper abdominal pain radiating to back, vomiting","Hospital admission, IV fluids, pain control, treat underlying cause",Not recommended - medical emergency,
Colorectal Polyps,Gastrointestinal,Often asymptomatic; may cause bleeding or altered bowel habits,"Endoscopic removal (polypectomy), regular screening",Not recommended,
Lactose Intolerance,Gastrointestinal,"Bloating, diarrhea, gas after dairy intake","Dietary lactose avoidance/reduction, lactase supplements","Locally tolerated alternatives (e.g., plant-based milks)",
Malnutrition-related Diarrhea (Persistent),Gastrointestinal,"Chronic loose stools >14 days, weight loss in children","Nutritional rehabilitation, ORS/zinc, treat underlying infection","Nutrient-dense local foods (moringa, groundnut paste)",
Food Poisoning (Bacterial toxin),Gastrointestinal,"Sudden vomiting/diarrhea after eating, abdominal cramps","Supportive care, ORS; antibiotics rarely needed",Ginger tea for nausea,
Hypertension,Cardiovascular,"Often asymptomatic; headache, dizziness in some; found on routine check","ACE inhibitors, calcium channel blockers, thiazide diuretics; lifestyle modification","Hibiscus (zobo) tea, garlic, reduced salt intake (supportive, not a replacement for medication)",Very common in West Africa; regular monitoring essential
Heart Failure,Cardiovascular,"Breathlessness, leg swelling, fatigue, orthopnea","ACE inhibitors/ARBs, beta-blockers, diuretics, manage underlying cause",Not a substitute for medication,
Coronary Artery Disease / Angina,Cardiovascular,"Chest pain/pressure on exertion, breathlessness","Aspirin, statins, beta-blockers, nitrates; lifestyle changes",Not recommended as sole treatment,
Myocardial Infarction (Heart Attack),Cardiovascular,"Severe chest pain, sweating, breathlessness, arm/jaw pain","Emergency care: aspirin, reperfusion therapy, hospital admission",Not recommended - medical emergency,Call for emergency care immediately
Stroke,Cardiovascular/Neurological,"Sudden weakness/numbness (one side), slurred speech, confusion","Emergency care; thrombolysis (if eligible), blood pressure management, rehabilitation",Not recommended - medical emergency,Time-critical; seek urgent hospital care
Rheumatic Heart Disease,Cardiovascular,"Breathlessness, fatigue, palpitations, history of rheumatic fever","Penicillin prophylaxis, manage heart failure symptoms, valve surgery if severe",Not recommended,
Deep Vein Thrombosis,Cardiovascular,"Leg swelling, pain, warmth, redness",Anticoagulation (heparin/warfarin or DOACs),Not recommended,
Peripheral Artery Disease,Cardiovascular,"Leg pain on walking (claudication), cold limbs","Antiplatelets, statins, exercise therapy, manage risk factors",Not recommended,
Cardiomyopathy (Peripartum),Cardiovascular,"Breathlessness, swelling, fatigue in late pregnancy/postpartum",Heart failure management under specialist care,Not recommended - specialist care required,
Varicose Veins,Cardiovascular,"Swollen, twisted visible veins, leg heaviness","Compression stockings, lifestyle measures; sclerotherapy/surgery if severe","Leg elevation, warm compress",
Type 2 Diabetes Mellitus,Endocrine/Metabolic,"Excess thirst, frequent urination, fatigue, blurred vision, slow wound healing","Metformin, sulfonylureas, insulin if needed; diet/exercise","Bitter leaf (Vernonia amygdalina), bitter gourd, moringa used traditionally (monitor blood sugar, not a replacement for medication)",Regular blood glucose monitoring essential
Type 1 Diabetes Mellitus,Endocrine/Metabolic,"Rapid weight loss, excess thirst/urination, fatigue in children/young adults",Insulin therapy (lifelong),Not a substitute for insulin - can be fatal if delayed,
Diabetic Ketoacidosis,Endocrine/Metabolic,"Vomiting, abdominal pain, rapid breathing, confusion","Emergency IV fluids, insulin, electrolyte correction (hospital)",Not recommended - medical emergency,
Hypothyroidism,Endocrine,"Fatigue, weight gain, cold intolerance, constipation",Levothyroxine replacement therapy,Not recommended,
Hyperthyroidism / Graves' Disease,Endocrine,"Weight loss, palpitations, heat intolerance, tremor, bulging eyes","Antithyroid drugs (carbimazole), beta-blockers, radioactive iodine or surgery",Not recommended,
Goitre (Iodine Deficiency),Endocrine,"Visible neck swelling, may cause difficulty swallowing","Iodine supplementation, thyroid hormone if hypothyroid, iodized salt use",Iodized salt in diet,
Obesity,Metabolic,"Excess body weight, breathlessness, joint strain","Dietary counseling, physical activity, medication/surgery in select cases",Increased intake of local vegetables and fiber; portion control,
Metabolic Syndrome,Metabolic,"Central obesity, elevated blood pressure/glucose/lipids","Lifestyle modification, manage individual components (BP, glucose, lipids)","Reduced salt/sugar intake, increased local vegetable consumption",
Gout,Metabolic,"Sudden severe joint pain (often big toe), swelling, redness","NSAIDs, colchicine for acute attacks; allopurinol for prevention","Reduced purine-rich food intake, increased water intake",
Dyslipidemia (High Cholesterol),Metabolic,Usually asymptomatic; found on blood test,"Statins, dietary modification, exercise","Garlic, oats-based diet, reduced fried food intake",
Vitamin D Deficiency,Endocrine/Nutritional,"Bone pain, muscle weakness, fatigue","Vitamin D supplementation, sunlight exposure","Sun exposure, fish consumption",
Addison's Disease,Endocrine,"Fatigue, weight loss, low blood pressure, skin darkening",Corticosteroid replacement therapy (hydrocortisone),Not recommended,
Cushing's Syndrome,Endocrine,"Weight gain (central), moon face, purple stretch marks, high BP",Treat underlying cause (reduce steroid use or remove tumor),Not recommended,
Chronic Kidney Disease,Renal,"Fatigue, swelling, reduced urine output, hypertension","Blood pressure control, dietary modification, dialysis/transplant in advanced disease",Caution: many herbal remedies are nephrotoxic and should be avoided,
Acute Kidney Injury,Renal,"Sudden reduced urine output, swelling, confusion","Treat underlying cause, IV fluids/dialysis as needed (hospital care)",Not recommended - medical emergency,
Nephrotic Syndrome,Renal,"Severe swelling, frothy urine, weight gain","Corticosteroids, diuretics, dietary sodium restriction",Not recommended,
Kidney Stones,Renal/Urology,"Severe flank pain, blood in urine, nausea","Analgesics, increased fluid intake, lithotripsy/surgery if large",Increased water intake; lemon water (may help prevent certain stone types),
Benign Prostatic Hyperplasia,Urology,"Weak urine stream, frequent urination, nighttime urination","Alpha-blockers (tamsulosin), 5-alpha reductase inhibitors; surgery if severe",Saw palmuto/pumpkin seed extract (limited evidence),
Urinary Incontinence,Urology,Involuntary urine leakage,"Pelvic floor exercises, medications, surgery depending on cause",Not recommended as sole treatment,
Epilepsy,Neurological,"Recurrent seizures, loss of consciousness, convulsions","Anticonvulsants (e.g., phenobarbital, carbamazepine, sodium valproate)",Not a substitute for anticonvulsants; avoid stigmatizing traditional practices that delay care,"Community education important - epilepsy is a medical, not spiritual, condition"
Migraine,Neurological,"Throbbing unilateral headache, nausea, light/sound sensitivity","Analgesics, triptans for acute attacks; preventive medication if frequent","Ginger tea, peppermint oil applied to temples",
Tension Headache,Neurological,"Dull, band-like head pain, neck tightness","Paracetamol/NSAIDs, stress management","Peppermint oil, relaxation techniques",
Peripheral Neuropathy,Neurological,"Numbness, tingling, burning pain in extremities","Treat underlying cause (e.g., diabetes control), gabapentin/amitriptyline for pain",Not recommended as sole treatment,
Bell's Palsy,Neurological,Sudden one-sided facial weakness/drooping,"Corticosteroids (early), eye protection, physiotherapy",Not recommended,
Parkinson's Disease,Neurological,"Tremor, rigidity, slow movement, balance difficulty","Levodopa-carbidopa, dopamine agonists",Not recommended,
Dementia (Alzheimer's type),Neurological,"Progressive memory loss, confusion, personality change","Cholinesterase inhibitors, supportive care, caregiver support",Not recommended as sole treatment,
